,광역시도,시군,pop,moon,hong,ahn
226,경상남도,창원시의창구,164047,"60,757(37.22)","56,887(34.85)","22,830(13.98)"
227,경상남도,창원시성산구,153327,"63,717(41.74)","42,052(27.54)","22,923(15.01)"
228,경상남도,창원시마산합포구,119281,"35,592(29.99)","54,488(45.91)","14,686(12.37)"
229,경상남도,창원시마산회원구,136757,"45,014(33.07)","56,340(41.39)","17,744(13.03)"
230,경상남도,창원시진해구,114779,"41,249(36.11)","40,049(35.06)","17,435(15.26)"
231,경상남도,진주시,222813,"73,929(33.35)","93,751(42.30)","26,687(12.04)"
232,경상남도,통영시,82855,"25,477(30.94)","36,128(43.87)","10,738(13.04)"
233,경상남도,고성군,34603,"9,848(28.67)","16,797(48.91)","4,104(11.95)"
234,경상남도,사천시,71555,"22,370(31.47)","32,475(45.69)","8,350(11.74)"
235,경상남도,김해시,318253,"147,972(46.72)","82,880(26.17)","45,126(14.24)"
236,경상남도,밀양시,70687,"20,842(29.68)","32,394(46.14)","9,073(12.92)"
237,경상남도,거제시,150230,"68,291(45.71)","38,775(25.95)","20,359(13.62)"
238,경상남도,의령군,19258,"5,115(26.85)","10,134(53.21)","1,984(10.41)"
239,경상남도,함안군,43866,"13,597(31.21)","19,809(45.48)","5,399(12.39)"
240,경상남도,창녕군,42878,"10,310(24.28)","24,464(57.63)","3,877(9.13)"
241,경상남도,양산시,199835,"83,412(41.94)","58,811(29.57)","30,945(15.55)"
242,경상남도,하동군,34324,"11,211(33.00)","14,864(43.76)","4,150(12.21)"
243,경상남도,남해군,30208,"8,680(29.00)","14,166(47.33)","3,906(13.05)"
244,경상남도,함양군,26640,"7,388(28.02)","13,008(49.34)","3,203(12.14)"
245,경상남도,산청군,24513,"6,561(27.00)","12,544(51.63)","2,753(11.33)"
246,경상남도,거창군,41325,"11,256(27.48)","19,976(48.78)","4,923(12.02)"
247,경상남도,합천군,33021,"7,143(21.83)","19,699(60.22)","3,077(9.40)"
248,제주특별자치도,제주시,273163,"125,717(46.25)","48,027(17.67)","55,971(20.59)"
249,제주특별자치도,서귀포시,101296,"43,776(43.50)","20,036(19.91)","21,890(21.75)"
